surah_no,surah_name_en,surah_name_ar,surah_name_roman,ayah_no_surah,ayah_no_quran,ayah_ar,ayah_en,ruko_no,juz_no,manzil_no,hizb_quarter,total_ayah_surah,total_ayah_quran,place_of_revelation,sajah_ayah,sajdah_no,no_of_word_ayah,list_of_words
1,The Opener,الفاتحة,Al-Fatihah,1,1,بسم ٱلله ٱلرحمن ٱلرحيم,"In the Name of Allah—the Most Compassionate, Most Merciful.",1,1,1,1,7,6236,Meccan,False,nan,4,"[بسم,ٱلله,ٱلرحمن,ٱلرحيم]"
1,The Opener,الفاتحة,Al-Fatihah,2,2,ٱلحمد لله رب ٱلعلمين,"All praise is for Allah—Lord of all worlds,",1,1,1,1,7,6236,Meccan,False,nan,4,"[ٱلحمد,لله,رب,ٱلعلمين]"
1,The Opener,الفاتحة,Al-Fatihah,3,3,ٱلرحمن ٱلرحيم,"the Most Compassionate, Most Merciful,",1,1,1,1,7,6236,Meccan,False,nan,2,"[ٱلرحمن,ٱلرحيم]"
1,The Opener,الفاتحة,Al-Fatihah,4,4,ملك يوم ٱلدين,Master of the Day of Judgment.,1,1,1,1,7,6236,Meccan,False,nan,3,"[ملك,يوم,ٱلدين]"
1,The Opener,الفاتحة,Al-Fatihah,5,5,إياك نعبد وإياك نستعين,You ˹alone˺ we worship and You ˹alone˺ we ask for help.,1,1,1,1,7,6236,Meccan,False,nan,4,"[إياك,نعبد,وإياك,نستعين]"
1,The Opener,الفاتحة,Al-Fatihah,6,6,ٱهدنا ٱلصرط ٱلمستقيم,"Guide us along the Straight Path,",1,1,1,1,7,6236,Meccan,False,nan,3,"[ٱهدنا,ٱلصرط,ٱلمستقيم]"
1,The Opener,الفاتحة,Al-Fatihah,7,7,صرط ٱلذين أنعمت عليهم غير ٱلمغضوب عليهم ولا ٱلضالين,"the Path of those You have blessed—not those You are displeased with, or those who are astray.",1,1,1,1,7,6236,Meccan,False,nan,9,"[صرط,ٱلذين,أنعمت,عليهم,غير,ٱلمغضوب,عليهم,ولا,ٱلضالين]"
2,The Cow,البقرة,Al-Baqarah,1,8,الم,Alif-Lãm-Mĩm.,2,1,1,1,286,6236,Medinan,False,nan,1,[الم]
2,The Cow,البقرة,Al-Baqarah,2,9,ذلك ٱلكتب لا ريب  فيه  هدى للمتقين,This is the Book! There is no doubt about it,2,1,1,1,286,6236,Medinan,False,nan,9,"[ذلك,ٱلكتب,لا,ريب,,فيه,,هدى,للمتقين]"
2,The Cow,البقرة,Al-Baqarah,3,10,ٱلذين يؤمنون بٱلغيب ويقيمون ٱلصلوة ومما رزقنهم ينفقون,"who believe in the unseen, establish prayer, and donate from what We have provided for them,",2,1,1,1,286,6236,Medinan,False,nan,8,"[ٱلذين,يؤمنون,بٱلغيب,ويقيمون,ٱلصلوة,ومما,رزقنهم,ينفقون]"
2,The Cow,البقرة,Al-Baqarah,4,11,وٱلذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبٱلءاخرة هم يوقنون,"and who believe in what has been revealed to you ˹O Prophet˺ and what was revealed before you, and have sure faith in the Hereafter.",2,1,1,1,286,6236,Medinan,False,nan,12,"[وٱلذين,يؤمنون,بما,أنزل,إليك,وما,أنزل,من,قبلك,وبٱلءاخرة,هم,يوقنون]"
2,The Cow,البقرة,Al-Baqarah,5,12,أولئك على هدى من ربهم  وأولئك هم ٱلمفلحون,"It is they who are ˹truly˺ guided by their Lord, and it is they who will be successful.",2,1,1,1,286,6236,Medinan,False,nan,9,"[أولئك,على,هدى,من,ربهم,,وأولئك,هم,ٱلمفلحون]"
2,The Cow,البقرة,Al-Baqarah,6,13,إن ٱلذين كفروا سواء عليهم ءأنذرتهم أم لم تنذرهم لا يؤمنون,"As for those who persist in disbelief, it is the same whether you warn them or not—they will never believe.",2,1,1,1,286,6236,Medinan,False,nan,11,"[إن,ٱلذين,كفروا,سواء,عليهم,ءأنذرتهم,أم,لم,تنذرهم,لا,يؤمنون]"
2,The Cow,البقرة,Al-Baqarah,7,14,ختم ٱلله على قلوبهم وعلى سمعهم  وعلى أبصرهم غشوة  ولهم عذاب عظيم,"Allah has sealed their hearts and their hearing, and their sight is covered. They will suffer a tremendous punishment.",2,1,1,1,286,6236,Medinan,False,nan,14,"[ختم,ٱلله,على,قلوبهم,وعلى,سمعهم,,وعلى,أبصرهم,غشوة,,ولهم,عذاب,عظيم]"
2,The Cow,البقرة,Al-Baqarah,8,15,ومن ٱلناس من يقول ءامنا بٱلله وبٱليوم ٱلءاخر وما هم بمؤمنين,"And there are some who say, “We believe in Allah and the Last Day,” yet they are not ˹true˺ believers.",3,1,1,1,286,6236,Medinan,False,nan,11,"[ومن,ٱلناس,من,يقول,ءامنا,بٱلله,وبٱليوم,ٱلءاخر,وما,هم,بمؤمنين]"
2,The Cow,البقرة,Al-Baqarah,9,16,يخدعون ٱلله وٱلذين ءامنوا وما يخدعون إلا أنفسهم وما يشعرون,"They seek to deceive Allah and the believers, yet they only deceive themselves, but they fail to perceive it.",3,1,1,1,286,6236,Medinan,False,nan,10,"[يخدعون,ٱلله,وٱلذين,ءامنوا,وما,يخدعون,إلا,أنفسهم,وما,يشعرون]"
2,The Cow,البقرة,Al-Baqarah,10,17,فى قلوبهم مرض فزادهم ٱلله مرضا  ولهم عذاب أليم بما كانوا يكذبون,"There is sickness in their hearts, and Allah ˹only˺ lets their sickness increase. They will suffer a painful punishment for their lies.",3,1,1,1,286,6236,Medinan,False,nan,13,"[فى,قلوبهم,مرض,فزادهم,ٱلله,مرضا,,ولهم,عذاب,أليم,بما,كانوا,يكذبون]"
2,The Cow,البقرة,Al-Baqarah,11,18,وإذا قيل لهم لا تفسدوا فى ٱلأرض قالوا إنما نحن مصلحون,"When they are told, “Do not spread corruption in the land,” they reply, “We are only peace-makers!”",3,1,1,1,286,6236,Medinan,False,nan,11,"[وإذا,قيل,لهم,لا,تفسدوا,فى,ٱلأرض,قالوا,إنما,نحن,مصلحون]"
2,The Cow,البقرة,Al-Baqarah,12,19,ألا إنهم هم ٱلمفسدون ولكن لا يشعرون,"Indeed, it is they who are the corruptors, but they fail to perceive it.",3,1,1,1,286,6236,Medinan,False,nan,7,"[ألا,إنهم,هم,ٱلمفسدون,ولكن,لا,يشعرون]"
